Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
139271,Future,Fetti,7gBQgznbpI6iqEprmeSfI9,42,2014,hip-hop,0.816,0.762,5,-6.044,1,0.137,0.0196,5.43e-05,0.138,0.551,126.992,222880,4
139272,Future,Look Ahead,2W10vndZ7uSOKVineVfjOa,42,2014,hip-hop,0.652,0.658,9,-3.975,1,0.168,0.232,0.0,0.641,0.481,163.126,213373,4
139292,Future,2Pac,1R12cEzkDD40twWg50l3qS,41,2014,hip-hop,0.648,0.621,0,-5.522,1,0.0397,0.014,0.0,0.326,0.479,136.001,200907,4
139343,Future,Special (feat. Young Scooter),2XjcBGdV3h5NJ1hq5NFCy0,40,2014,hip-hop,0.785,0.566,4,-4.371,0,0.0886,0.0237,0.0,0.119,0.0995,135.121,298800,4
139344,Future,Wesley Presley,4j5Tpz0Vm8vPNZT0pMyQF5,40,2014,hip-hop,0.72,0.677,8,-5.675,0,0.0461,0.00643,0.0,0.36,0.283,99.985,147680,4
139416,Future,Side Effects,1r1Y2hq7wMKe0CRYRkdWFw,37,2014,hip-hop,0.644,0.748,8,-4.993,1,0.0595,0.213,0.0,0.435,0.759,130.004,120493,4
139453,Future,Benz Friendz (Whatchutola) (feat. André 3000),4E7H6rqgxHdSoeGSS28CTY,37,2014,hip-hop,0.582,0.838,4,-5.015,0,0.294,0.16,0.0,0.544,0.505,93.454,281120,4
139468,Future,Showed Up,7HIKmGolnSy0nr7G594dvi,36,2014,hip-hop,0.773,0.652,1,-5.664,0,0.165,0.0469,0.0,0.239,0.507,135.841,203880,4
139539,Future,"Blood, Sweat, Tears",4EpDZxSApKaod3PVqT5ben,36,2014,hip-hop,0.633,0.867,7,-4.995,1,0.214,0.617,0.0,0.408,0.404,112.985,263213,4
139571,Future,My Momma (feat. Wiz Khalifa),0ZZWXHDXn6zWDsnz6KSfGQ,36,2014,hip-hop,0.846,0.491,1,-7.039,0,0.224,0.0478,0.000227,0.1,0.188,127.007,220693,4
139589,Future,I'll Be Yours,16VNQF6gEq03h1ob0jjyuK,34,2014,hip-hop,0.549,0.527,1,-6.324,1,0.147,0.6,0.0,0.123,0.506,137.757,180813,4
139660,Naxxos,New Orleans,6jqplRFu3hpbRANzyRM3DP,37,2014,house,0.723,0.635,4,-6.993,1,0.03,0.026,0.399,0.081,0.461,126.012,320000,4
139689,Naxxos,New Orleans - Radio Edit,7t486UbTHyxXWU8OuB7DHn,33,2014,house,0.721,0.667,4,-6.877,1,0.0312,0.0387,0.402,0.0773,0.526,126.058,217143,4
139730,Naxxos,New Orleans - Sam Feldt Remix,6PF32rjjRMw0g9dG15Nlzz,27,2014,house,0.822,0.437,4,-5.801,1,0.0427,0.00313,0.0579,0.0807,0.356,125.996,304874,4
139998,Trajik,Foreign (feat. G. Hill Hoosier Boy & Troop),1xWUjmv4OSeO9bkVErIPE8,2,2014,indian,0.527,0.842,7,-4.91,1,0.552,0.424,0.0,0.157,0.594,130.17,194168,4
140152,Theorized,Bound,1Lr0NviKonZlUTGu7Tl4e0,0,2014,indian,0.243,0.435,7,-11.761,0,0.0366,0.0373,0.791,0.638,0.0777,114.834,108053,4
140153,Theorized,"Engines of Creation, Pt. 1",4nO5rI9JaLpUu9faPIX3rk,0,2014,indian,0.341,0.958,2,-5.262,1,0.153,0.00038,0.141,0.159,0.0789,116.864,510533,4
140156,Theorized,Symbiote,2ULelfWh11lDuuqUxbzgOW,0,2014,indian,0.269,0.97,2,-4.351,1,0.235,0.0012,0.1,0.246,0.264,145.002,357320,4
140161,Theorized,Genetic Variants,5dZlteuI2BBZVevLt4JKn5,0,2014,indian,0.315,0.983,6,-4.442,1,0.341,7.74e-05,0.0491,0.196,0.106,128.819,316920,3
140185,Theorized,Venomous Tormentia,4wZ2swpCpZcbM5LIvKUKqZ,0,2014,indian,0.402,0.992,1,-3.915,1,0.31,0.000188,0.00588,0.335,0.177,197.007,260867,4
140189,Theorized,Psychosphere,5wDBmPuSyEZpE8oSrBqFM4,0,2014,indian,0.245,0.99,7,-4.056,1,0.282,3.91e-05,0.00852,0.669,0.0595,138.058,406000,4
140212,Theorized,Riptide,3rfGv0q2rEhV5kd0MoAv1x,0,2014,indian,0.521,0.985,2,-3.421,1,0.249,0.000139,0.0534,0.388,0.218,99.961,255960,4
140216,Theorized,"Engines of Creation, Pt. 2",3wQa4m3r5U0aeaUotC3GE4,0,2014,indian,0.321,0.977,6,-4.81,0,0.19,0.000519,0.154,0.437,0.0687,108.113,384933,4
140220,Theorized,Unbound,2RlwO6wte9hdm8MSQ2K71C,0,2014,indian,0.275,0.982,2,-3.877,1,0.275,5.57e-05,0.0504,0.346,0.126,137.998,314987,4
141153,Noisuf-X,The Typical Fuck You Song,722hTlgUrUvEXmO5ptBAih,18,2014,industrial,0.57,0.998,6,-4.128,1,0.0519,0.00296,0.533,0.131,0.759,139.996,218680,4
